Category: All categories

Week,mindfulness: (Austin TX)
2024-12-08,0
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,59
2025-01-12,37
2025-01-19,57
2025-01-26,75
2025-02-02,47
2025-02-09,0
2025-02-16,64
2025-02-23,67
2025-03-02,57
2025-03-09,60
2025-03-16,43
2025-03-23,37
2025-03-30,47
2025-04-06,73
2025-04-13,0
2025-04-20,0
2025-04-27,0
2025-05-04,0
2025-05-11,0
2025-05-18,45
2025-05-25,0
2025-06-01,0
2025-06-08,50
2025-06-15,0
2025-06-22,48
2025-06-29,60
2025-07-06,79
2025-07-13,66
2025-07-20,85
2025-07-27,70
2025-08-03,47
2025-08-10,53
2025-08-17,41
2025-08-24,0
2025-08-31,48
2025-09-07,66
2025-09-14,91
2025-09-21,77
2025-09-28,62
2025-10-05,68
2025-10-12,39
2025-10-19,75
2025-10-26,0
2025-11-02,85
2025-11-09,100
2025-11-16,75
2025-11-23,60
2025-11-30,43
2025-12-07,52
