Category: All categories

Week,community care: (Salt Lake City UT)
2024-12-08,51
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,66
2025-01-12,55
2025-01-19,0
2025-01-26,61
2025-02-02,0
2025-02-09,0
2025-02-16,61
2025-02-23,79
2025-03-02,0
2025-03-09,52
2025-03-16,64
2025-03-23,62
2025-03-30,98
2025-04-06,86
2025-04-13,56
2025-04-20,0
2025-04-27,50
2025-05-04,57
2025-05-11,53
2025-05-18,67
2025-05-25,0
2025-06-01,0
2025-06-08,61
2025-06-15,53
2025-06-22,65
2025-06-29,0
2025-07-06,65
2025-07-13,73
2025-07-20,89
2025-07-27,66
2025-08-03,49
2025-08-10,0
2025-08-17,59
2025-08-24,0
2025-08-31,0
2025-09-07,79
2025-09-14,60
2025-09-21,99
2025-09-28,87
2025-10-05,63
2025-10-12,70
2025-10-19,0
2025-10-26,85
2025-11-02,89
2025-11-09,70
2025-11-16,100
2025-11-23,58
2025-11-30,56
2025-12-07,50
